"Transaction id","Transaction id"
"Transaction amount","Transaction amount"
"Transactions","Transactions"
"Transactions History","Transactions History"
"Closed Unsuccessfully","Closed Unsuccessfully"
"Processing","Processing"
"Closed Successfully","Closed Successfully"
"Refunded","Refunded"
"Transaction ID in Barion","Transaction ID in Barion"
"Billing Name","Billing Name"
"Amount","Amount"
"Currency","Currency"
"Purchased From (Store)","Purchased From (Store)"
"Transaction Status","Transaction Status"
"Created At","Created At"
"History ID","History ID"
"Error Message","Error Message"
"Error Number","Error Number"
"You will be redirected to the Barion website in a few seconds.","You will be redirected to the Barion website in a few seconds."